index,in_data,u,g,r,Ha,i,r.Ha.i,Rne,coherent,shape,best_filter,comment
366,TRUE,no,no,no,no,no,no,1,,,,
367,TRUE,no,no,no,no,no,no,1,,,,
368,TRUE,no,no,no,no,no,no,1,,,,
369,TRUE,no,no,no,no,no,no,1,,,,
370,TRUE,no,no,no,no,no,no,1,,,,
371,TRUE,no,no,no,no,no,no,1,,,,
372,TRUE,no,no,no,no,no,no,1,,,,
373,TRUE,no,no,no,no,no,faint,3,y,tail,stack,noise or nebulosity?
374,TRUE,no,no,no,no,no,no,1,,,,
375,TRUE,no,no,no,no,no,no,1,,,,
376,TRUE,no,no,no,no,no,no,1,,,,
377,TRUE,no,no,no,no,no,no,1,,,,
378,TRUE,no,no,no,no,no,no,1,,,,
379,TRUE,no,no,no,no,no,no,1,,,,
380,TRUE,no,no,no,no,faint,faint,3,y,tail,stack,Rne?
381,TRUE,no,visible,visible,visible,visible,visible,3,y,"large scale, arc",g,YSO in the center of a ring of nebulosity
382,TRUE,no,no,no,no,no,no,1,,,,
383,TRUE,no,no,no,no,no,no,3,y,,,region of nebulosity but the star is too bright and there is the mirror artifact
384,TRUE,no,no,no,no,no,no,3,y,,,region of nebulosity but the star is too bright and there is the mirror artifact
385,TRUE,no,no,no,no,no,no,2,,,,region full of artifacts
386,TRUE,prominent,prominent,prominent,prominent,prominent,prominent,5,y,"arc, tail","g,r,i,Ha",
387,TRUE,no,no,no,no,no,no,1,,,,
388,TRUE,no,no,no,no,no,no,1,,,,
389,TRUE,faint,visible,visible,visible,visible,visible,4,y,"filament, diffuse","g,r,i,Ha",is it due to this star?
390,TRUE,no,no,no,no,no,no,1,,,,
391,TRUE,no,faint,faint,visible,visible,visible,4,y,diffuse,"r,i,Ha",region of nebulosity
392,TRUE,no,faint,faint,visible,visible,visible,5,y,diffuse,"r,i,Ha",region of nebulosity
393,TRUE,no,no,no,no,no,no,1,,,,
394,TRUE,no,prominent,prominent,prominent,prominent,prominent,4,y,"diffuse,arc","g,r,Ha",which star is correct?
395,TRUE,faint,visible,visible,visible,visible,visible,4,y,diffuse,"g,r,i,Ha",region of nebulosity
396,TRUE,no,no,no,no,no,no,1,,,,
397,TRUE,prominent,prominent,prominent,prominent,prominent,prominent,5,y,"diffuse, irregu",all,very bright star
398,TRUE,no,faint,faint,faint,faint,faint,4,y,filament,"g,r,i",
399,TRUE,no,faint,faint,faint,faint,faint,2,,,,
400,TRUE,no,no,no,no,no,no,1,,,,
401,TRUE,prominent,prominent,prominent,prominent,prominent,prominent,5,y,diffuse,all,very bright star
402,TRUE,no,no,no,no,no,no,1,,,,
403,TRUE,no,no,no,no,faint,faint,3,y,tail,Ha,is it a point source in Ha? Not in Aladin
404,TRUE,no,visible,visible,visible,visible,visible,4,y,arc,"g,r,i,Ha",star not visible
405,TRUE,no,faint,faint,faint,faint,faint,3,y,"filament, large scale","g,r,i,Ha","distant from star, large scale"
406,TRUE,no,no,no,no,no,no,3,y,,,region of nebulosity but star not visible
407,TRUE,no,no,no,no,no,no,1,,,,
408,TRUE,no,no,no,no,no,no,2,y,diffuse,"g,r,Ha","region of nebulosity, star not visible"
409,TRUE,no,no,no,no,no,no,1,,,,
410,TRUE,no,no,no,no,no,no,3,y,,,"region of nebulosity, star not visible"
411,FALSE,,,,,,,,,,,
412,TRUE,prominent,prominent,prominent,prominent,prominent,prominent,5,y,"diffuse, tail, irregular",all,
413,TRUE,prominent,prominent,prominent,prominent,prominent,prominent,5,y,"tail, irregular",all,
414,TRUE,no,no,no,no,no,no,2,,,,
415,TRUE,no,faint,faint,faint,faint,faint,3,,,,"star not visible, region of nebulosity"
416,TRUE,prominent,prominent,prominent,prominent,prominent,prominent,5,y,"arc, irregular",all,"very bright region, star not visible"
417,TRUE,no,no,no,no,no,no,2,,,,
418,TRUE,no,no,no,no,no,no,1,,,,
419,TRUE,no,no,no,no,no,no,1,,,,bright star
420,TRUE,no,no,no,no,no,no,1,,,,
421,TRUE,no,no,no,no,no,no,2,,,,
422,TRUE,no,no,no,no,no,no,1,,,,
423,TRUE,no,no,no,no,no,no,1,,,,
424,TRUE,no,no,no,no,no,no,1,,,,
425,TRUE,no,no,no,no,no,no,2,,,,
426,TRUE,no,no,no,no,no,no,1,,,,
427,FALSE,,,,,,,,,,,
428,TRUE,no,no,no,no,no,no,1,,,,
429,TRUE,no,no,no,no,no,no,1,,,,
430,TRUE,no,no,no,no,no,no,1,,,,
431,TRUE,no,no,no,no,no,no,1,,,,
432,TRUE,no,no,no,no,no,no,1,,,,
433,TRUE,no,no,no,no,no,no,1,,,,
434,TRUE,no,no,no,no,no,no,1,,,,no visible star
435,TRUE,faint,faint,faint,faint,faint,faint,4,y,inverse,all,
436,TRUE,no,no,no,no,no,no,1,,,,
437,TRUE,no,no,no,no,no,no,1,,,,
438,TRUE,no,no,no,no,no,no,1,,,,
439,TRUE,no,no,faint,faint,faint,faint,3,y,,,point source or Rne?
440,TRUE,no,no,no,no,no,no,1,,,,
441,TRUE,no,no,no,no,no,no,1,,,,
442,TRUE,no,no,no,no,no,no,1,,,,bright star
443,TRUE,no,no,no,no,no,no,1,,,,
444,TRUE,no,no,no,no,no,no,1,,,,
445,TRUE,no,no,no,no,no,no,1,,,,
